date,time,open,high,low,close,vwap,volume,count
2021-09-24 04:45:00,1632458700,462.48,462.48,462.48,462.48,0.0,0.0,0
2021-09-24 04:46:00,1632458760,462.48,462.48,462.48,462.48,0.0,0.0,0
2021-09-24 04:47:00,1632458820,462.48,462.48,462.48,462.48,0.0,0.0,0
2021-09-24 04:48:00,1632458880,462.48,462.48,462.48,462.48,0.0,0.0,0
2021-09-24 04:49:00,1632458940,462.48,462.48,462.48,462.48,0.0,0.0,0
2021-09-24 04:50:00,1632459000,462.48,462.48,462.48,462.48,0.0,0.0,0
2021-09-24 04:51:00,1632459060,462.48,462.48,462.48,462.48,0.0,0.0,0
2021-09-24 04:52:00,1632459120,462.48,462.48,462.48,462.48,0.0,0.0,0
2021-09-24 04:53:00,1632459180,462.48,462.48,462.48,462.48,0.0,0.0,0
2021-09-24 04:54:00,1632459240,462.48,462.48,462.48,462.48,0.0,0.0,0
2021-09-24 04:55:00,1632459300,462.48,462.48,462.48,462.48,0.0,0.0,0
2021-09-24 04:56:00,1632459360,462.48,462.48,462.48,462.48,0.0,0.0,0
2021-09-24 04:57:00,1632459420,462.01,462.01,462.01,462.01,462.01,0.01999117,1
2021-09-24 04:58:00,1632459480,462.01,462.01,462.01,462.01,0.0,0.0,0
2021-09-24 04:59:00,1632459540,462.01,462.01,462.01,462.01,0.0,0.0,0
2021-09-24 05:00:00,1632459600,462.01,462.01,462.01,462.01,0.0,0.0,0
2021-09-24 05:01:00,1632459660,462.01,462.01,462.01,462.01,0.0,0.0,0
2021-09-24 05:02:00,1632459720,462.01,462.01,462.01,462.01,0.0,0.0,0
2021-09-24 05:03:00,1632459780,462.01,462.01,462.01,462.01,0.0,0.0,0
2021-09-24 05:04:00,1632459840,462.01,462.01,462.01,462.01,0.0,0.0,0
2021-09-24 05:05:00,1632459900,462.01,462.01,462.01,462.01,0.0,0.0,0
2021-09-24 05:06:00,1632459960,462.01,462.01,462.01,462.01,0.0,0.0,0
2021-09-24 05:07:00,1632460020,460.02,460.21,459.78,460.21,460.02,3.54385296,9
2021-09-24 05:08:00,1632460080,460.21,460.21,460.21,460.21,0.0,0.0,0
2021-09-24 05:09:00,1632460140,460.54,460.54,460.54,460.54,460.54,0.45237112,1
2021-09-24 05:10:00,1632460200,460.54,460.54,460.54,460.54,0.0,0.0,0
2021-09-24 05:11:00,1632460260,460.54,460.54,460.54,460.54,0.0,0.0,0
